job_id,title,company,city,salary_min,salary_max,currency,date_posted,description
JOB0000,Senior Business Analyst,TechNova,Bengaluru,1800000,3150000,INR,2025-06-09,"We are looking for a Business Analyst to join our team. Required skills: Tableau, Python, Excel, Storytelling, SQL, Data Visualization. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0001,Junior Full Stack Developer,TechNova,Bengaluru,500000,1000000,INR,2025-07-09,"We are looking for a Full Stack Developer to join our team. Required skills: Node, AWS, Docker, JavaScript, CI/CD, REST. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0002,Mid Business Analyst,BluePanda,Mumbai,900000,1800000,INR,2025-02-01,"We are looking for a Business Analyst to join our team. Required skills: Statistics, Data Visualization, A/B Testing, SQL, Excel, Tableau. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0003,Senior Data Engineer,NeoByte,Hyderabad,2300000,4025000,INR,2025-06-16,"We are looking for a Data Engineer to join our team. Required skills: SQL, DBT, ETL, Redshift, Airflow, Azure. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0004,Junior Data Engineer,InSight Labs,Bengaluru,575000,1150000,INR,2025-06-02,"We are looking for a Data Engineer to join our team. Required skills: ETL, SQL, GCP, Kafka, Azure, Airflow. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0005,Junior ML Engineer,DataWorks,Delhi,600000,1200000,INR,2025-02-21,"We are looking for a ML Engineer to join our team. Required skills: CI/CD, MLOps, Docker, TensorFlow, Feature Stores, Model Serving. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0006,Mid Data Engineer,AlgoSphere,Chennai,1150000,2300000,INR,2025-06-18,"We are looking for a Data Engineer to join our team. Required skills: Airflow, DBT, Hadoop, Data Warehousing, Kafka, SQL. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0007,Mid Business Analyst,NeoByte,Hyderabad,900000,1800000,INR,2025-07-27,"We are looking for a Business Analyst to join our team. Required skills: Statistics, A/B Testing, Power BI, Storytelling, Data Visualization, Excel. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0008,Junior Data Engineer,NeoByte,Bengaluru,575000,1150000,INR,2025-05-28,"We are looking for a Data Engineer to join our team. Required skills: Redshift, Airflow, ETL, Kafka, SQL, Hadoop. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0009,Lead Business Analyst,NeoByte,Pune,2700000,4050000,INR,2025-05-25,"We are looking for a Business Analyst to join our team. Required skills: A/B Testing, Statistics, Excel, Power BI, Python, Data Visualization. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0010,Lead Backend Developer,BluePanda,Pune,3150000,4725000,INR,2024-10-06,"We are looking for a Backend Developer to join our team. Required skills: GraphQL, Flask, FastAPI, Redis, Python, PostgreSQL. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
JOB0011,Lead ML Engineer,CloudAxis,Delhi,3600000,5400000,INR,2025-05-08,"We are looking for a ML Engineer to join our team. Required skills: FastAPI, TensorFlow, AWS, Airflow, Model Serving, GCP. Responsibilities include building data pipelines, working with stakeholders, and delivering insights. Nice-to-have: strong communication and problem-solving skills."
